1000/03 Inventarisnummer,Rechtenverklaring object,Rechtenverklaring data,Persistente URI,Kunstenaarsnaam_NL_VerbeterdeVersie,1000/04 Titel_NL,1000/06 Soort - Verwoording,1000/07 AfmetingenNL,1000/08 Materialen en technieken - Verwoording,2000/01 Datum,2000/02 Toewijzing - Verwoording,2000/04 Achternaam_NL,2000/04 Achternaam 3,2000/04 Achternaam 4,2000/05 Voornaam,2000/08 Geboortedatum,2000/09 Datum overlijden,2000/13 Opmerking toewijzing,2300/02 Terminus ante quem,2300/03 Terminus post quem
8773,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8773,Meester van de Calvarie van Waha (toegeschreven aan),Christus op de koude steen,beeldhouwwerk,"80 x 32,5 x 20","hout, verf",,toegeschreven aan,Meester van de Calvarie van Waha,School der oude zuidelijke Nederlanden,Ecole des anciens Pays-Bas méridionaux,,,,,1520,1540
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,vroeger toegeschreven aan,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8774,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8774,"Zuid-Nederlandse school, Antwerpen",Retabel van de kruisiging,retabel,"154 x 95,5 x 21,5","hout, hout (eik), verf, verguldsel",,,"Zuid-Nederlandse school, Antwerpen",,,,,,,1510,1520
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8775,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8775,"Zuid-Nederlandse school, Antwerpen",Retabelfragment : Hoofdman en hogepriester,retabel (deel van),"38,5 x 23,5 x 6,5","hout, verguldsel, verf",,,"Zuid-Nederlandse school, Antwerpen",,,,,,,1510,1530
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8776,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8776,"Zuid-Nederlandse school, Brabant?",Retabelfragment. De kruisdraging,retabel (deel van),"36,5 x 32,5 x 8,5","hout, hout (eik), hout (notenhout), verguldsel, verf",,?,"Zuid-Nederlandse school, Brabant",Brabantse school,Ecole brabançonne,,,,,1520,1530
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,vroeger toegeschreven aan,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8784,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8784,Franse school?,Heilige Jozef van een Nativiteit,standbeeld,"98 x 34 x 25,5","hout, verf",,?,Franse school,,,,,,,1490,1510
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8785,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8785,"Franse school, Languedoc?","De heilige Antonius, heremiet",groep,77 x 30 x 26,"steen (kalksteen), verf",,?,"Franse school, Languedoc",,,,,,,1501,1520
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8788,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8788,Franse school?,De heilige Martinus,groep,91 x 58 x 21,"hout, verf",,?,Franse school,,,,,,,1501,1525
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8789,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8789,"Franse school, Bretagne?","De heilige Antonius, heremiet",statuette,"71,2 x 30,2 x 23,6",steen,,?,"Franse school, Bretagne","Franse school, Languedoc","Ecole française, Languedoc",,,,,1440,1460
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,vroeger toegeschreven aan,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
8790,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8790,Noord-Italiaanse school?,Tronende Maria met Kind,groep,60 x 31 x 64,marmer,,?,Noord-Italiaanse school,Noord-Italiaanse school,Ecole du nord de l'Italie,,,,,1440,1460
